"Name","Source","Type","Rarity","Attunement","Price (gp)","Price Formatted","Price Source","Has Reference"
"Abacus","PHB","G","Mundane","No","2.0","2.0 gp","Official","True"
"Acid","XPHB","G|XPHB","Mundane","No","25.0","25 gp","Official","True"
"Adamantine Ammunition","XGE","GV|DMG","Unknown","No","250.0","250 gp","Single source (DSA)","True"
"Adamantine Arrow","XGE","A|XPHB","Unknown","No","250.0","250 gp","Amalgamated (DSA,MSRP)","True"
"Adamantine Bar","WDH","TG","Mundane","No","1000.0","1,000 gp","Official","True"
"Adamantine Bellows Cannister","XGE","A|XPHB","Unknown","No","250.0","250 gp","Algorithm","False"
"Adamantine Bolt","XGE","A|XPHB","Unknown","No","375.0","375 gp","Algorithm","False"
"Adamantine Bullet","XGE","A|XPHB","Unknown","No","375.0","375 gp","Algorithm","False"
"Adamantine Cannonball","XGE","A|XPHB","Unknown","No","250.0","250 gp","Algorithm","False"
"Adamantine Dragon Shot","XGE","A|XPHB","Unknown","No","250.0","250 gp","Algorithm","False"
"Adamantine Firearm Bullet","XGE","A|XPHB","Unknown","No","375.0","375 gp","Algorithm","False"
"Adamantine Flare","XGE","A|XPHB","Unknown","No","250.0","250 gp","Single source (DSA)","True"
"Adamantine Needle","XGE","A|XPHB","Unknown","No","100.0","100 gp","Algorithm","False"
"Adamantine Paper Cartridge Bullet","XGE","A|XPHB","Unknown","No","375.0","375 gp","Algorithm","False"
"Adamantine Shell","XGE","A|XPHB","Unknown","No","250.0","250 gp","Algorithm","False"
"Adamantine Shot","XGE","A|XPHB","Unknown","No","250.0","250 gp","Algorithm","False"
"Adamantine Sling Bullet","XGE","A|XPHB","Unknown","No","375.0","375 gp","Algorithm","False"
"Adjustable Stilts","WDH","OTH","Unknown","No","1.0","1.0 gp","Algorithm","False"
"Aerenal Trinket","ERLW","G","Mundane","No","1.0","1.0 gp","Algorithm","False"
"Airship","XPHB","AIR|XPHB","Mundane","No","40000.0","40,000 gp","Official","True"
"Alchemist's Doom","SCC","G","Unknown","No","1.0","1.0 gp","Algorithm","False"
"Alchemist's Fire","XPHB","G|XPHB","Mundane","No","50.0","50 gp","Official","True"
"Alchemist's Supplies","XPHB","AT|XPHB","Mundane","No","50.0","50 gp","Official","True"
