item_name,price_gp,normalized_name,source
Perfume of Bewitching,75.0,perfume of bewitching,DMPG
Potion of Climbing,30.0,potion of climbing,DMPG
Potion of Healing (Common),50.0,potion of healing common,DMPG
Bottled Breath,350.0,bottled breath,DMPG
Oil of Slipperiness,250.0,oil of slipperiness,DMPG
Philter of Love,150.0,philter of love,DMPG
Potion of Animal Friendship,200.0,potion of animal friendship,DMPG
Potion of Fire Breath,350.0,potion of fire breath,DMPG
Potion of Giant Strength (Hill),125.0,potion of giant strength hill,DMPG
Potion of Growth,300.0,potion of growth,DMPG
Potion of Healing (Uncommon),300.0,potion of healing uncommon,DMPG
Potion of Poison,500.0,potion of poison,DMPG
Potion of Resistance,500.0,potion of resistance,DMPG
Potion of Waterbreathing,400.0,potion of waterbreathing,DMPG
Elixir of Health,2000.0,elixir of health,DMPG
Oil of Etherealness,2000.0,oil of etherealness,DMPG
Potion of Aqueous Form,1000.0,potion of aqueous form,DMPG
Potion of Clairvoyance,900.0,potion of clairvoyance,DMPG
Potion of Diminution,500.0,potion of diminution,DMPG
Potion of Gaseous Form,1500.0,potion of gaseous form,DMPG
Potion of Giant Strength (Frost/Stone),650.0,potion of giant strength frost/stone,DMPG
Potion of Giant Strength (Fire),1200.0,potion of giant strength fire,DMPG
Potion of Healing (Rare),750.0,potion of healing rare,DMPG
Potion of Heroism,800.0,potion of heroism,DMPG
Potion of Invulnerability,1500.0,potion of invulnerability,DMPG
Potion of Maximum Power,2000.0,potion of maximum power,DMPG
Potion of Mind Control (beast),1600.0,potion of mind control beast,DMPG
Potion of Mind Control (humanoid),2500.0,potion of mind control humanoid,DMPG
Potion of Mind Reading,1100.0,potion of mind reading,DMPG
Oil of Sharpness,2200.0,oil of sharpness,DMPG
Potion of Flying,2500.0,potion of flying,DMPG
Potion of Giant Strength (Cloud),1800.0,potion of giant strength cloud,DMPG
Potion of Healing (Very Rare),1500.0,potion of healing very rare,DMPG
Potion of Invisibility,2000.0,potion of invisibility,DMPG
Potion of Longevity,3000.0,potion of longevity,DMPG
Potion of Mind Control (monster),6000.0,potion of mind control monster,DMPG
Potion of Possibility,1900.0,potion of possibility,DMPG
Potion of Speed,2000.0,potion of speed,DMPG
Potion of Vitality,1800.0,potion of vitality,DMPG
Potion of Giant Size,11000.0,potion of giant size,DMPG
Potion of Giant Strength (Storm),8000.0,potion of giant strength storm,DMPG
Spell Scroll or Tattoo (Cantrip),15.0,spell scroll or tattoo cantrip,DMPG
Spell Scroll or Tattoo (1st Level),25.0,spell scroll or tattoo 1st level,DMPG
Spell Scroll or Tattoo (2nd Level),150.0,spell scroll or tattoo 2nd level,DMPG
Spell Scroll or Tattoo (3rd Level),400.0,spell scroll or tattoo 3rd level,DMPG
Spell Scroll or Tattoo (4th Level),800.0,spell scroll or tattoo 4th level,DMPG
Spell Scroll or Tattoo (5th Level),1500.0,spell scroll or tattoo 5th level,DMPG
Scroll of Protection,3500.0,scroll of protection,DMPG
Spell Scroll (6th Level),2000.0,spell scroll 6th level,DMPG
Spell Scroll (7th Level),3500.0,spell scroll 7th level,DMPG
Spell Scroll (8th Level),5000.0,spell scroll 8th level,DMPG
Spell Scroll (9th Level),20000.0,spell scroll 9th level,DMPG
Scroll of Tarrasque Summoning,150000.0,scroll of tarrasque summoning,DMPG
Scroll of the Comet,250000.0,scroll of the comet,DMPG
Spell Gem (Cantrip),150.0,spell gem cantrip,DMPG
Spell Gem (1st Level),350.0,spell gem 1st level,DMPG
Spell Gem (2nd Level),1500.0,spell gem 2nd level,DMPG
Spell Gem (3rd Level),4000.0,spell gem 3rd level,DMPG
