item_name,price_gp,normalized_name,source
Absorbing Tattoo,14580.0,absorbing tattoo,DSA
Adamantine Ammunition,4950.0,adamantine ammunition,DSA
Adamantine Arrows (20),4952.0,adamantine arrows 20,DSA
Adamantine Breastplate,5610.0,adamantine breastplate,DSA
Adamantine Chain Mail,5074.0,adamantine chain mail,DSA
Adamantine Chain Shirt,5033.0,adamantine chain shirt,DSA
Adamantine Half Plate,6188.0,adamantine half plate,DSA
Adamantine Plate,7425.0,adamantine plate,DSA
Adamantine Ring Mail,5000.0,adamantine ring mail,DSA
Adamantine Scale Mail,5033.0,adamantine scale mail,DSA
Adamantine Splint,5280.0,adamantine splint,DSA
Adamantine Weapon,5445.0,adamantine weapon,DSA
Alchemical Compendium,6680.0,alchemical compendium,DSA
Alchemy Jug,4950.0,alchemy jug,DSA
"All-Purpose Tool, +1",2580.0,all-purpose tool +1,DSA
"All-Purpose Tool, +2",9040.0,all-purpose tool +2,DSA
"All-Purpose Tool, +3",26160.0,all-purpose tool +3,DSA
Ammunition of Slaying,267.0,ammunition of slaying,DSA
"Ammunition, +1",297.0,ammunition +1,DSA
"Ammunition, +2",990.0,ammunition +2,DSA
"Ammunition, +3",2772.0,ammunition +3,DSA
Amulet of Health,12600.0,amulet of health,DSA
Amulet of Proof Against Detect and Location,2700.0,amulet of proof against detect and location,DSA
"Amulet of the Devout, +1",2640.0,amulet of the devout +1,DSA
"Amulet of the Devout, +2",9120.0,amulet of the devout +2,DSA
"Amulet of the Devout, +3",26280.0,amulet of the devout +3,DSA
Amulet of the Planes,32400.0,amulet of the planes,DSA
Animated Shield,2700.0,animated shield,DSA
Apparatus of Kwalish,137500.0,apparatus of kwalish,DSA
"Arcane Grimoire, +1",2640.0,arcane grimoire +1,DSA
"Arcane Grimoire, +2",9120.0,arcane grimoire +2,DSA
"Arcane Grimoire, +3",26280.0,arcane grimoire +3,DSA
Armor of Gleaming,330.0,armor of gleaming,DSA
Armor of Invulnerability,69300.0,armor of invulnerability,DSA
Armor of Resistance,9000.0,armor of resistance,DSA
"Armor of Resistance, Breastplate",9800.0,armor of resistance breastplate,DSA
"Armor of Resistance, Chain Shirt",9100.0,armor of resistance chain shirt,DSA
"Armor of Resistance, Leather",9020.0,armor of resistance leather,DSA
"Armor of Resistance, Plate",12000.0,armor of resistance plate,DSA
"Armor, +1",1980.0,armor +1,DSA
"Armor, +2",8910.0,armor +2,DSA
"Armor, +3",29700.0,armor +3,DSA
Arrow of Slaying,267.0,arrow of slaying,DSA
Arrow-Catching Shield,7200.0,arrow-catching shield,DSA
Astral Shard,6020.0,astral shard,DSA
Astromancy Archive,5360.0,astromancy archive,DSA
Atlas of Endless Horizons,6080.0,atlas of endless horizons,DSA
Baba Yaga's Dancing Broom,2700.0,baba yagas dancing broom,DSA
Bag of Holding,1485.0,bag of holding,DSA
Bag of Tricks,4455.0,bag of tricks,DSA
"Barrier Tattoo, AC12+Dex",1350.0,barrier tattoo ac12+dex,DSA
"Barrier Tattoo, AC15+Dex2",3600.0,barrier tattoo ac15+dex2,DSA
"Barrier Tattoo, AC18",9000.0,barrier tattoo ac18,DSA
Bead of Force,13933.0,bead of force,DSA
Bead of Nourishment,99.0,bead of nourishment,DSA
Bead of Refreshment,99.0,bead of refreshment,DSA
Bell Branch,1160.0,bell branch,DSA
Belt of Dwarvenkind,8460.0,belt of dwarvenkind,DSA
"Belt of Giant Strength, Cloud",113400.0,belt of giant strength cloud,DSA
"Belt of Giant Strength, Fire",52920.0,belt of giant strength fire,DSA
"Belt of Giant Strength, Hill",18900.0,belt of giant strength hill,DSA
"Belt of Giant Strength, Stone/Frost",39690.0,belt of giant strength stone/frost,DSA
"Belt of Giant Strength, Storm",141750.0,belt of giant strength storm,DSA
