name,source,rarity,type,official_price_gp,req_attune,url,alias,req_attune_class,weapon_bonus,weapon_attack_bonus,weapon_damage_bonus,ac_bonus,saving_throw_bonus,ability_check_bonus,proficiency_bonus_mod,spell_attack_bonus,spell_save_dc_bonus,spell_damage_bonus,bonus_saving_throw_concentration,damage_resistances,damage_immunities,damage_vulnerabilities,condition_immunities,spell_scroll_level,attached_spells,charges,recharge,recharge_amount,speed_mods,grants_language,grants_proficiency,is_sentient,is_cursed,is_tattoo,is_wondrous,is_focus,is_poison,is_firearm,reload,armor_ac,armor_strength_req,vehicle_speed,vehicle_ac,vehicle_hp,vehicle_crew,vehicle_cargo_capacity,is_ammunition,is_shield,stealth_penalty,strength_req,crit_threshold,item_tier,ability_score_mods,weapon_properties,item_type_code,is_generic_variant,material,spell_battery_max_level,extra_damage_avg,extra_damage_dice,extra_damage_condition,extra_damage_condition_detail,extra_damage_multiplier,minor_beneficial,major_beneficial,minor_detrimental,major_detrimental,has_fixed_beneficial,has_fixed_detrimental,moonblade_properties,staff_forgotten_one_beneficial,staff_forgotten_one_detrimental,flight_full,flight_limited,darkvision_feet,truesight,blindsight,tremorsense,teleportation,invisibility_atwill,healing_daily_hp,healing_consumable_avg,healing_permanent_hp,tome_manual_boost,concentration_free,crit_immunity,wish_effect,spell_absorption,stealth_advantage,legendary_resistance,swim_speed,climb_speed,burrow_speed,save_advantage,save_advantage_tiers,save_advantage_broad,save_advantage_category,save_advantage_situational,condition_immunity_prose,language_known,unarmed_strike_bonus,unarmed_strike_damage,spell_casting_abilities,curse_effects,environmental_breathing,water_breathing,immune_to_disease,death_save_advantage,conditional_save_advantage,check_advantage,check_disadvantage,save_disadvantage,is_focus_prose,save_dc,temp_hp_avg,temp_hp_frequency,hp_max_flat,hp_max_per_level,initiative_bonus,initiative_advantage,extra_damage_priced_avg,normalized_name,dsa_price,msrp_price,dmpg_price,amalgamated_price,price_sources,price_confidence,power_score,defensive_score,spell_complexity,interaction_weapon_damage,interaction_flight_invisibility,rule_price,price_source,has_reference_source,criteria_coverage,guide_spread,price_authority,generic_parent,variant_base_price,variant_adjustment,variant_price,variant_adjusted_price,ml_price,price_low,price_high,confidence,final_price,pre_anchor_final_price,official_anchor_tier,official_anchor_ratio,official_anchor_delta
Abacus,PHB,mundane,G,2.0,none,https://5e.tools/items.html#abacus_phb,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],G,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,abacus,,,,,,mundane,,,,0.0,0.0,2.0,official,True,0,,official,,,,,,46.888676,1.1589796543121338,4636.24365234375,High,2.0,2.0,near_agreement_official_heavy,1.0,0.0
Acid,XPHB,mundane,G|XPHB,25.0,none,https://5e.tools/items.html#acid_xphb,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],G|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,8.0,0.0,,0.0,0,0,False,0.0,acid,,,,,,mundane,,,,0.0,0.0,25.0,official,True,0,,official,,,,,,46.888676,1.1589796543121338,4636.24365234375,High,25.0,25.0,near_agreement_official_heavy,1.0,0.0
Adamantine Arrow,XGE,uncommon,A|XPHB,,none,https://5e.tools/items.html#adamantine%20arrow_xge,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,minor,[],[],A|XPHB,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine arrow,247.6,312.5,,280.05,"DSA,MSRP",multi,,,,0.0,0.0,250.0,rule,True,1,0.2317443313693983,anchor,Adamantine Ammunition,278.84615384615387,-0.2385606273598311,258.88963982662955,,337.5989,253.69984436035156,2090.92041015625,Medium,288.68233612060544,288.68233612060544,no_official_price,,0.0
Adamantine Bar,WDH,mundane,TG,1000.0,none,https://5e.tools/items.html#adamantine%20bar_wdh,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],TG,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine bar,,,,,,mundane,,,,0.0,0.0,1000.0,official,True,1,,official,,,,,,50.26564,1.1901241540908813,4635.17822265625,High,1000.0,1000.0,exact_commodity_official_price,1.0,0.0
Adamantine Bellows Cannister,XGE,uncommon,A|XPHB,,none,https://5e.tools/items.html#adamantine%20bellows%20cannister_xge,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,minor,[],[],A|XPHB,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine bellows cannister,,,,,,none,,,,0.0,0.0,250.0,rule,False,1,,rule,Adamantine Ammunition,278.84615384615387,0.0624693683041499,284.0719567715972,,337.5989,250.0,2090.92041015625,Low,250.0,250.0,no_official_price,,0.0
Adamantine Bolt,XGE,uncommon,A|XPHB,,none,https://5e.tools/items.html#adamantine%20bolt_xge,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,minor,[],[],A|XPHB,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine bolt,,,,,,none,,,,0.0,0.0,312.5,rule,False,1,,rule,Adamantine Ammunition,278.84615384615387,-0.1505149978319905,266.25499537367006,,337.5989,253.69984436035156,2090.92041015625,Low,312.5,312.5,no_official_price,,0.0
Adamantine Bullet,XGE,uncommon,A|XPHB,,none,https://5e.tools/items.html#adamantine%20bullet_xge,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,minor,[],[],A|XPHB,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine bullet,,,,,,none,,,,0.0,0.0,312.5,rule,False,1,,rule,Adamantine Ammunition,278.84615384615387,0.0,278.84615384615387,,337.5989,253.69984436035156,2090.92041015625,Low,312.5,312.5,no_official_price,,0.0
Adamantine Cannonball,XGE,uncommon,A|XPHB,,none,https://5e.tools/items.html#adamantine%20cannonball_xge,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,minor,[],[],A|XPHB,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine cannonball,,,,,,none,,,,0.0,0.0,250.0,rule,False,1,,rule,Adamantine Ammunition,278.84615384615387,0.56246936830415,325.8988798485202,,337.5989,250.0,2090.92041015625,Low,250.0,250.0,no_official_price,,0.0
Adamantine Dragon Shot,XGE,uncommon,A|XPHB,,none,https://5e.tools/items.html#adamantine%20dragon%20shot_xge,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,minor,[],[],A|XPHB,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine dragon shot,,,,,,none,,,,0.0,0.0,250.0,rule,False,1,,rule,Adamantine Ammunition,278.84615384615387,-0.0880456295278405,271.48079829911336,,337.5989,250.0,2090.92041015625,Low,250.0,250.0,no_official_price,,0.0
Adamantine Firearm Bullet,XGE,uncommon,A|XPHB,,none,https://5e.tools/items.html#adamantine%20firearm%20bullet_xge,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,minor,[],[],A|XPHB,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine firearm bullet,,,,,,none,,,,0.0,0.0,500.0,rule,False,1,,rule,Adamantine Ammunition,278.84615384615387,0.0624693683041499,284.0719567715972,,337.5989,253.69984436035156,2090.92041015625,Low,500.0,500.0,no_official_price,,0.0
Adamantine Flare,XGE,uncommon,A|XPHB,,none,https://5e.tools/items.html#adamantine%20flare_xge,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,minor,[],[],A|XPHB,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine flare,7425.0,,,7425.0,DSA,solo-outlier,,,,0.0,0.0,250.0,rule-outlier-detected,True,1,,rule-outlier,Adamantine Ammunition,278.84615384615387,0.4119543704721593,313.3077213760364,,337.5989,253.69984436035156,2090.92041015625,Low,337.5989074707031,337.5989074707031,no_official_price,,0.0
Adamantine Needle,XGE,uncommon,A|XPHB,,none,https://5e.tools/items.html#adamantine%20needle_xge,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,minor,[],[],A|XPHB,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine needle,,,,,,none,,,,0.0,0.0,125.0,rule,False,1,,rule,Adamantine Ammunition,278.84615384615387,-0.4375306316958499,242.2450336946741,,337.5989,125.0,2090.92041015625,Low,125.0,125.0,no_official_price,,0.0
