item_name,price_gp,normalized_name,source
Perfume of Bewitching Common,75.0,perfume of bewitching common,DMPG
Potion of Climbing Common,30.0,potion of climbing common,DMPG
Potion of Healing (Common) Common,50.0,potion of healing common common,DMPG
Bottled Breath Uncommon,350.0,bottled breath uncommon,DMPG
Oil of Slipperiness Uncommon,250.0,oil of slipperiness uncommon,DMPG
Philter of Love Uncommon,150.0,philter of love uncommon,DMPG
Potion of Animal Friendship Uncommon,200.0,potion of animal friendship uncommon,DMPG
Potion of Fire Breath Uncommon,350.0,potion of fire breath uncommon,DMPG
Potion of Giant Strength (Hill) Uncommon,125.0,potion of giant strength hill uncommon,DMPG
Potion of Growth Uncommon,300.0,potion of growth uncommon,DMPG
Potion of Healing (Uncommon) Uncommon,300.0,potion of healing uncommon uncommon,DMPG
Potion of Poison Uncommon,500.0,potion of poison uncommon,DMPG
Potion of Resistance Uncommon,500.0,potion of resistance uncommon,DMPG
Potion of Waterbreathing Uncommon,400.0,potion of waterbreathing uncommon,DMPG
Elixir of Health Rare,2000.0,elixir of health rare,DMPG
Oil of Etherealness Rare,2000.0,oil of etherealness rare,DMPG
Potion of Aqueous Form Rare,1000.0,potion of aqueous form rare,DMPG
Potion of Clairvoyance Rare,900.0,potion of clairvoyance rare,DMPG
Potion of Diminution Rare,500.0,potion of diminution rare,DMPG
Potion of Gaseous Form Rare,1500.0,potion of gaseous form rare,DMPG
Potion of Giant Strength (Frost/Stone) Rare,650.0,potion of giant strength frost/stone rare,DMPG
Potion of Giant Strength (Fire) Rare,1200.0,potion of giant strength fire rare,DMPG
Potion of Healing (Rare) Rare,750.0,potion of healing rare rare,DMPG
Potion of Heroism Rare,800.0,potion of heroism rare,DMPG
Potion of Invulnerability Rare,1500.0,potion of invulnerability rare,DMPG
Potion of Maximum Power Rare,2000.0,potion of maximum power rare,DMPG
Potion of Mind Control (beast) Rare,1600.0,potion of mind control beast rare,DMPG
Potion of Mind Control (humanoid) Rare,2500.0,potion of mind control humanoid rare,DMPG
Potion of Mind Reading Rare,1100.0,potion of mind reading rare,DMPG
Oil of Sharpness Very Rare,2200.0,oil of sharpness very rare,DMPG
Potion of Flying Very Rare,2500.0,potion of flying very rare,DMPG
Potion of Giant Strength (Cloud) Very Rare,1800.0,potion of giant strength cloud very rare,DMPG
Potion of Healing (Very Rare) Very Rare,1500.0,potion of healing very rare very rare,DMPG
Potion of Invisibility Very Rare,2000.0,potion of invisibility very rare,DMPG
Potion of Longevity Very Rare,3000.0,potion of longevity very rare,DMPG
Potion of Mind Control (monster) Very Rare,6000.0,potion of mind control monster very rare,DMPG
Potion of Possibility Very Rare,1900.0,potion of possibility very rare,DMPG
Potion of Speed Very Rare,2000.0,potion of speed very rare,DMPG
Potion of Vitality Very Rare,1800.0,potion of vitality very rare,DMPG
Potion of Giant Size Legendary,11000.0,potion of giant size legendary,DMPG
Potion of Giant Strength (Storm) Legendary,8000.0,potion of giant strength storm legendary,DMPG
Spell Scroll or Tattoo (Cantrip) No 13 +5 Common,15.0,spell scroll or tattoo cantrip no 13 +5 common,DMPG
Spell Scroll or Tattoo (1st Level) No 13 +5 Common,25.0,spell scroll or tattoo 1st level no 13 +5 common,DMPG
Spell Scroll or Tattoo (2nd Level) No 13 +5 Uncommon,150.0,spell scroll or tattoo 2nd level no 13 +5 uncommon,DMPG
Spell Scroll or Tattoo (3rd Level) No 15 +7 Uncommon,400.0,spell scroll or tattoo 3rd level no 15 +7 uncommon,DMPG
Spell Scroll or Tattoo (4th Level) No 15 +7 Rare,800.0,spell scroll or tattoo 4th level no 15 +7 rare,DMPG
Spell Scroll or Tattoo (5th Level) No 17 +9 Rare,1500.0,spell scroll or tattoo 5th level no 17 +9 rare,DMPG
Scroll of Protection No — — Rare,3500.0,scroll of protection no — — rare,DMPG
Spell Scroll (6th Level) No 17 +9 Very Rare,2000.0,spell scroll 6th level no 17 +9 very rare,DMPG
Spell Scroll (7th Level) No 18 +10 Very Rare,3500.0,spell scroll 7th level no 18 +10 very rare,DMPG
Spell Scroll (8th Level) No 18 +10 Very Rare,5000.0,spell scroll 8th level no 18 +10 very rare,DMPG
Spell Scroll (9th Level) No 19 +11 Legendary,20000.0,spell scroll 9th level no 19 +11 legendary,DMPG
Scroll of Tarrasque Summoning No — — Legendary,150000.0,scroll of tarrasque summoning no — — legendary,DMPG
Scroll of the Comet No 20 — Legendary,250000.0,scroll of the comet no 20 — legendary,DMPG
Spell Gem (Cantrip) Yes (optional) 13 +5 Uncommon,150.0,spell gem cantrip yes optional 13 +5 uncommon,DMPG
Spell Gem (1st Level) Yes (optional) 13 +5 Uncommon,350.0,spell gem 1st level yes optional 13 +5 uncommon,DMPG
Spell Gem (2nd Level) Yes (optional) 13 +5 Rare,1500.0,spell gem 2nd level yes optional 13 +5 rare,DMPG
Spell Gem (3rd Level) Yes (optional) 15 +7 Rare,4000.0,spell gem 3rd level yes optional 15 +7 rare,DMPG
Spell Gem (4th Level) Yes (optional) 15 +7 Very Rare,8000.0,spell gem 4th level yes optional 15 +7 very rare,DMPG
Spell Gem (5th Level) Yes (optional) 17 +9 Very Rare,15000.0,spell gem 5th level yes optional 17 +9 very rare,DMPG
Spell Gem (6th Level) Yes (optional) 17 +9 Very Rare,20000.0,spell gem 6th level yes optional 17 +9 very rare,DMPG
Spell Gem (7th Level) Yes (optional) 18 +10 Legendary,35000.0,spell gem 7th level yes optional 18 +10 legendary,DMPG
Spell Gem (8th Level) Yes (optional) 18 +10 Legendary,51000.0,spell gem 8th level yes optional 18 +10 legendary,DMPG
Spell Gem (9th Level) Yes (optional) 19 +11 Legendary,78000.0,spell gem 9th level yes optional 19 +11 legendary,DMPG
Armblade (any one-handed melee weapon) Yes (warforged) Common,100.0,armblade any one-handed melee weapon yes warforged common,DMPG
Veteran's Cane No Common,50.0,veterans cane no common,DMPG
+1 Weapon (any) No Uncommon,500.0,weapon any no uncommon +1,DMPG
Blood Spear Yes Uncommon,375.0,blood spear yes uncommon,DMPG
Hellfire Weapon (any weapon) No Uncommon,500.0,hellfire weapon any weapon no uncommon,DMPG
Ild Rune Weapon (any weapon) No Uncommon,400.0,ild rune weapon any weapon no uncommon,DMPG
Javelin of Lightning No Uncommon,350.0,javelin of lightning no uncommon,DMPG
+1 Moon Sickle Yes (druid/ranger) Uncommon,1500.0,moon sickle yes druid/ranger uncommon +1,DMPG
Seeker Dart No Uncommon,100.0,seeker dart no uncommon,DMPG
Shatterspike (longsword) Yes Uncommon,550.0,shatterspike longsword yes uncommon,DMPG
No Uncommon,500.0,no uncommon,DMPG
Storm Boomerang No Uncommon,150.0,storm boomerang no uncommon,DMPG
Sword of Vengeance (any sword) Yes Uncommon,400.0,sword of vengeance any sword yes uncommon,DMPG
