item_name,price_gp,normalized_name,source
Armor of Gleaming,330.0,armor of gleaming,MSRP
Bead of Nourishment,99.0,bead of nourishment,MSRP
Bead of Refreshment,99.0,bead of refreshment,MSRP
Boots of False Tracks,330.0,boots of false tracks,MSRP
Candle of the Deep,330.0,candle of the deep,MSRP
Cast-Off Armor,330.0,cast-off armor,MSRP
Charlatan's Die,300.0,charlatans die,MSRP
Cloak of Billowing,330.0,cloak of billowing,MSRP
Cloak of Many Fashions,990.0,cloak of many fashions,MSRP
Clockwork Amulet,792.0,clockwork amulet,MSRP
Clothes of Mending,330.0,clothes of mending,MSRP
Dark Shard Amulet,120.0,dark shard amulet,MSRP
Dread Helm,330.0,dread helm,MSRP
Ear Horn of Hearing,990.0,ear horn of hearing,MSRP
Enduring Spellbook,330.0,enduring spellbook,MSRP
Ersatz Eye,900.0,ersatz eye,MSRP
Hat of Vermin,594.0,hat of vermin,MSRP
Hat of Wizardy,120.0,hat of wizardy,MSRP
Heward's Handy Spice Pouch,330.0,hewards handy spice pouch,MSRP
Horn of Silent Alarm,693.0,horn of silent alarm,MSRP
Illuminator's Tattoo,660.0,illuminators tattoo,MSRP
Instrument of Illusions,300.0,instrument of illusions,MSRP
Instrument of Scribing,180.0,instrument of scribing,MSRP
Lock of Trickery,990.0,lock of trickery,MSRP
Masquerade Tattoo,660.0,masquerade tattoo,MSRP
Moon-Touched Sword,660.0,moon-touched sword,MSRP
Mystery Key,99.0,mystery key,MSRP
Orb of Direction,330.0,orb of direction,MSRP
Orb of Time,330.0,orb of time,MSRP
Orb of Time,330.0,orb of time,MSRP
Perfume of Bewitching,198.0,perfume of bewitching,MSRP
Pipe of Smoke Monsters,330.0,pipe of smoke monsters,MSRP
Pole of Angling,330.0,pole of angling,MSRP
Pole of Collapsing,330.0,pole of collapsing,MSRP
Pot of Awakening,198.0,pot of awakening,MSRP
Potion of Climbing,693.0,potion of climbing,MSRP
Potion of Healing,55.0,potion of healing,MSRP
Prosthetic Limb,330.0,prosthetic limb,MSRP
Rival Coin,132.0,rival coin,MSRP
Rope of Mending,330.0,rope of mending,MSRP
Ruby of the War Mage,300.0,ruby of the war mage,MSRP
Shield of Expression,341.0,shield of expression,MSRP
Silvered Weapon,488.0,silvered weapon,MSRP
Smoldering Armor,330.0,smoldering armor,MSRP
"Spell Scroll, 1st",99.0,spell scroll 1st,MSRP
"Spell Scroll, Cantrip",33.0,spell scroll cantrip,MSRP
"Spellwrought Tattoo, Cantrip",99.0,spellwrought tattoo cantrip,MSRP
"Spellwrought Tattoo, Lv1",198.0,spellwrought tattoo lv1,MSRP
Staff of Adornment,330.0,staff of adornment,MSRP
Staff of Birdcalls,330.0,staff of birdcalls,MSRP
Staff of Flowers,330.0,staff of flowers,MSRP
Sylvan Talon,420.0,sylvan talon,MSRP
Talking Doll,900.0,talking doll,MSRP
Tankard of Sobriety,330.0,tankard of sobriety,MSRP
Unbreakable Arrow,330.0,unbreakable arrow,MSRP
Veteran's Cane,99.0,veterans cane,MSRP
Walloping Ammunition,33.0,walloping ammunition,MSRP
Wand of Conducting,198.0,wand of conducting,MSRP
Wand of Pyrotechnics,198.0,wand of pyrotechnics,MSRP
Wand of Scowls,198.0,wand of scowls,MSRP
Wand of Smiles,198.0,wand of smiles,MSRP
