"Name","Source","Type Code","Type","Rarity","Attunement","Price (gp)","Price Formatted","Price Low","Price High","Confidence","Price Source","URL","Notes","Has Reference"
"+1 Adamantine Arbalest","Call from the Deep","R|XPHB","Ranged Weapon","Uncommon","No","850.63","850 gp","680 gp","1,020 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20adamantine%20arbalest_callfromthedeep","","True"
"+1 Adamantine Battleaxe","Call from the Deep","M|XPHB","Melee Weapon","Uncommon","No","635.19","635 gp","508 gp","762 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20adamantine%20battleaxe_callfromthedeep","","True"
"+1 Adamantine Bellow Flute","Call from the Deep","M","Melee Weapon","Uncommon","No","435.41","435 gp","348 gp","522 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20adamantine%20bellow%20flute_callfromthedeep","","True"
"+1 Adamantine Blackpowder Pistol","Call from the Deep","R|XPHB","Ranged Weapon","Uncommon","No","635.19","635 gp","508 gp","762 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20adamantine%20blackpowder%20pistol_callfromthedeep","","True"
"+1 Adamantine Blackpowder Rifle","Call from the Deep","R|XPHB","Ranged Weapon","Uncommon","No","801.99","801 gp","641 gp","962 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20adamantine%20blackpowder%20rifle_callfromthedeep","","True"
"+1 Adamantine Blowgun","Call from the Deep","R|XPHB","Ranged Weapon","Uncommon","No","537.91","537 gp","430 gp","645 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20adamantine%20blowgun_callfromthedeep","","True"
"+1 Adamantine Blunderbuss","Call from the Deep","R|XPHB","Ranged Weapon","Uncommon","No","830.44","830 gp","664 gp","996 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20adamantine%20blunderbuss_callfromthedeep","","True"
"+1 Adamantine Blunderbuss, Hand","Call from the Deep","R|XPHB","Ranged Weapon","Uncommon","No","635.19","635 gp","508 gp","762 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20adamantine%20blunderbuss,%20hand_callfromthedeep","","True"
"+1 Adamantine Boat Oar","Call from the Deep","M","Melee Weapon","Uncommon","No","683.83","683 gp","547 gp","820 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20adamantine%20boat%20oar_callfromthedeep","","True"
"+1 Adamantine Boomerang","Call from the Deep","M","Melee Weapon","Uncommon","No","435.41","435 gp","348 gp","522 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20adamantine%20boomerang_callfromthedeep","","True"
