name,source,rarity,type,official_price_gp,rule_price,official_anchor_ratio,ml_price,pre_anchor_final_price,anchored_final_price,official_anchor_tier,official_anchor_delta
Residuum Enchanting Slate,TalDoreiCampaignSettingReborn,unknown_magic,T,20000.0,750.0,0.0375,40.81281,289.028326,16150.0,near_agreement_official_heavy,15860.971674
+3 Adamantine Vertebrae Sword,CallfromtheDeep,very_rare,M,500.6,87750.0,175.289652,19858.914,15269.837109,13792.913398,high_disagreement_computed_heavy,-1476.923711
+3 Adamantine Fan,CallfromtheDeep,very_rare,M,500.02,14950.0,29.898804,13975.78,14387.367041,12998.632337,high_disagreement_computed_heavy,-1388.734704
+3 Adamantine Butterfly Staff,CallfromtheDeep,very_rare,M,500.04,14950.0,29.897608,13975.78,14387.367041,12998.634337,high_disagreement_computed_heavy,-1388.732704
+3 Adamantine Club,CallfromtheDeep,very_rare,M|XPHB,500.1,14950.0,29.894021,13975.78,14387.367041,12998.640337,high_disagreement_computed_heavy,-1388.726704
+3 Adamantine Hoopak,CallfromtheDeep,very_rare,M,500.1,14950.0,29.894021,13975.78,14387.367041,12998.640337,high_disagreement_computed_heavy,-1388.726704
+3 Adamantine Iron Tea Kettle,CallfromtheDeep,very_rare,M,500.1,14950.0,29.894021,13975.78,14387.367041,12998.640337,high_disagreement_computed_heavy,-1388.726704
+3 Adamantine Greatclub,CallfromtheDeep,very_rare,M|XPHB,500.2,14950.0,29.888045,13975.78,14387.367041,12998.650337,high_disagreement_computed_heavy,-1388.716704
+3 Adamantine Quarterstaff,CallfromtheDeep,very_rare,M|XPHB,500.2,14950.0,29.888045,13975.78,14387.367041,12998.650337,high_disagreement_computed_heavy,-1388.716704
+3 Adamantine Frying Pan,CallfromtheDeep,very_rare,M,500.3,14950.0,29.882071,13975.78,14387.367041,12998.660337,high_disagreement_computed_heavy,-1388.706704
+3 Adamantine Shovel,CallfromtheDeep,very_rare,M,500.3,14950.0,29.882071,13975.78,14387.367041,12998.660337,high_disagreement_computed_heavy,-1388.706704
+3 Adamantine Javelin,CallfromtheDeep,very_rare,M|XPHB,500.5,14950.0,29.87013,13975.78,14387.367041,12998.680337,high_disagreement_computed_heavy,-1388.686704
+3 Adamantine Umbrella,CallfromtheDeep,very_rare,M,500.5,14950.0,29.87013,13975.78,14387.367041,12998.680337,high_disagreement_computed_heavy,-1388.686704
+3 Adamantine Candlemaker's Club,CallfromtheDeep,very_rare,M,500.7,14950.0,29.858199,13975.78,14387.367041,12998.700337,high_disagreement_computed_heavy,-1388.666704
+3 Adamantine Shepherd Crook,CallfromtheDeep,very_rare,M,500.7,14950.0,29.858199,13975.78,14387.367041,12998.700337,high_disagreement_computed_heavy,-1388.666704
+3 Adamantine Boat Oar,CallfromtheDeep,very_rare,M,500.8,14950.0,29.852236,13975.78,14387.367041,12998.710337,high_disagreement_computed_heavy,-1388.656704
+3 Adamantine Bellow Flute,CallfromtheDeep,very_rare,M,501.0,14950.0,29.840319,13975.78,14387.367041,12998.730337,high_disagreement_computed_heavy,-1388.636704
+3 Adamantine Brass Knuckles,CallfromtheDeep,very_rare,M|XPHB,501.0,14950.0,29.840319,13975.78,14387.367041,12998.730337,high_disagreement_computed_heavy,-1388.636704
+3 Adamantine Sickle,CallfromtheDeep,very_rare,M|XPHB,501.0,14950.0,29.840319,13975.78,14387.367041,12998.730337,high_disagreement_computed_heavy,-1388.636704
+3 Adamantine Spear,CallfromtheDeep,very_rare,M|XPHB,501.0,14950.0,29.840319,13975.78,14387.367041,12998.730337,high_disagreement_computed_heavy,-1388.636704
+3 Adamantine Tapper Sack,CallfromtheDeep,very_rare,M,501.0,14950.0,29.840319,13975.78,14387.367041,12998.730337,high_disagreement_computed_heavy,-1388.636704
+3 Adamantine Yklwa,CallfromtheDeep,very_rare,M,501.0,14950.0,29.840319,13975.78,14387.367041,12998.730337,high_disagreement_computed_heavy,-1388.636704
+3 Adamantine Boomerang,CallfromtheDeep,very_rare,M,502.0,14950.0,29.780876,13975.78,14387.367041,12998.830337,high_disagreement_computed_heavy,-1388.536704
+3 Adamantine Dagger,CallfromtheDeep,very_rare,M|XPHB,502.0,14950.0,29.780876,13975.78,14387.367041,12998.830337,high_disagreement_computed_heavy,-1388.536704
+3 Adamantine Field Spear,CallfromtheDeep,very_rare,M,502.0,14950.0,29.780876,13975.78,14387.367041,12998.830337,high_disagreement_computed_heavy,-1388.536704
+3 Adamantine Light Hammer,CallfromtheDeep,very_rare,M|XPHB,502.0,14950.0,29.780876,13975.78,14387.367041,12998.830337,high_disagreement_computed_heavy,-1388.536704
+3 Adamantine Punch Knife,CallfromtheDeep,very_rare,M|XPHB,502.0,14950.0,29.780876,13975.78,14387.367041,12998.830337,high_disagreement_computed_heavy,-1388.536704
+3 Adamantine Whip,CallfromtheDeep,very_rare,M|XPHB,502.0,14950.0,29.780876,13975.78,14387.367041,12998.830337,high_disagreement_computed_heavy,-1388.536704
+3 Adamantine Hand Claws,CallfromtheDeep,very_rare,M|XPHB,503.0,14950.0,29.72167,13975.78,14387.367041,12998.930337,high_disagreement_computed_heavy,-1388.436704
+3 Adamantine Dandelion Spear,CallfromtheDeep,very_rare,M,505.0,14950.0,29.60396,13975.78,14387.367041,12999.130337,high_disagreement_computed_heavy,-1388.236704
+3 Adamantine Handaxe,CallfromtheDeep,very_rare,M|XPHB,505.0,14950.0,29.60396,13975.78,14387.367041,12999.130337,high_disagreement_computed_heavy,-1388.236704
