"Name","Source","Type Code","Type","Rarity","Attunement","Price (gp)","Price Formatted","Price Low","Price High","Confidence","Price Source","URL","Notes","Has Reference"
"+1 All-Purpose Tool","Tasha's Cauldron of Everything","SCF","Spellcasting Focus","Uncommon","Yes","2784.74","2,784 gp","2,227 gp","3,341 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20all-purpose%20tool_tce","⚠️","True"
"+1 Amulet of the Devout","Tasha's Cauldron of Everything","","Wondrous Item","Uncommon","Yes","2587.56","2,587 gp","2,070 gp","3,105 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20amulet%20of%20the%20devout_tce","⚠️","True"
"+1 Arcane Grimoire","Tasha's Cauldron of Everything","SCF","Spellcasting Focus","Uncommon","Yes","2451.33","2,451 gp","1,961 gp","2,941 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20arcane%20grimoire_tce","⚠️","True"
"+1 Arrow","Dungeon Master's Guide (2024)","A|XPHB","Ammunition","Uncommon","No","34.82","34 gp","27 gp","41 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20arrow_xdmg","","True"
"+1 Battleaxe","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","635.68","635 gp","508 gp","762 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20battleaxe_xdmg","","True"
"+1 Bloodwell Vial","Tasha's Cauldron of Everything","SCF","Spellcasting Focus","Uncommon","Yes","3039.1","3,039 gp","2,431 gp","3,646 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20bloodwell%20vial_tce","⚠️","True"
"+1 Blowgun","Dungeon Master's Guide (2024)","R|XPHB","Ranged Weapon","Uncommon","No","536.01","536 gp","428 gp","643 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20blowgun_xdmg","","True"
"+1 Bolt","Dungeon Master's Guide (2024)","A|XPHB","Ammunition","Uncommon","No","34.82","34 gp","27 gp","41 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20bolt_xdmg","","True"
"+1 Breastplate","Dungeon Master's Guide (2024)","MA|XPHB","Medium Armor","Rare","No","1743.37","1,743 gp","1,394 gp","2,092 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+1%20breastplate_xdmg","","True"
"+1 Chain Mail","Dungeon Master's Guide (2024)","HA|XPHB","Heavy Armor","Rare","No","1796.7","1,796 gp","1,437 gp","2,156 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+1%20chain%20mail_xdmg","","True"
"+1 Chain Shirt","Dungeon Master's Guide (2024)","MA|XPHB","Medium Armor","Rare","No","1743.37","1,743 gp","1,394 gp","2,092 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+1%20chain%20shirt_xdmg","","True"
"+1 Club","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","432.1","432 gp","345 gp","518 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20club_xdmg","","True"
"+1 Dagger","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","382.26","382 gp","305 gp","458 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20dagger_xdmg","","True"
"+1 Dart","Dungeon Master's Guide (2024)","R|XPHB","Ranged Weapon","Uncommon","No","282.58","282 gp","226 gp","339 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20dart_xdmg","","True"
"+1 Double-Bladed Scimitar","Dungeon Master's Guide (2024)","M","Melee Weapon","Uncommon","No","664.84","664 gp","531 gp","797 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20double-bladed%20scimitar_xdmg","","True"
"+1 Dragonhide Belt","Fizban's Treasury of Dragons","","Wondrous Item","Uncommon","Yes","770.8","770 gp","616 gp","924 gp","Low","Algorithm","https://5e.tools/items.html#+1%20dragonhide%20belt_ftd","🤖","False"
"+1 Fate Dealer's Deck","The Book of Many Things","","Wondrous Item","Rare","Yes","5609.52","5,609 gp","4,487 gp","6,731 gp","Low","Algorithm","https://5e.tools/items.html#+1%20fate%20dealer's%20deck_bmt","🤖","False"
