"Name","Source","Type","Rarity","Attunement","Price","Price band","Price Source","Review flag(s)","Prose","Criteria highlights","5e.tools link"
"+1 Black Ice Boomerang","Call from the Deep","Melee Weapon","Rare","No","435 gp","348 gp / 435 gp / 522 gp","Amalgamated (DSA,MSRP,DMPG)","random","When thrown, the boomerang returns to an unoccupied space adjacent to you. As a reaction, you can choose to catch it.","weapon_bonus 1, extra_damage_multiplier 1","https://5e.tools/items.html#+1%20black%20ice%20boomerang_callfromthedeep"
"+1 Black Ice Repeater Needler","Call from the Deep","Ranged Weapon","Rare","No","200 gp","160 gp / 200 gp / 240 gp","Amalgamated (DSA,MSRP,DMPG)","floor-tripwire","—","weapon_bonus 1, extra_damage_multiplier 1","https://5e.tools/items.html#+1%20black%20ice%20repeater%20needler_callfromthedeep"
"+1 Dragonkin Greatclub","The Griffon's Saddlebag: Book One","Melee Weapon","Rare","Yes","743 gp","594 gp / 743 gp / 891 gp","Amalgamated (DSA,MSRP,DMPG)","random","—","weapon_bonus 1, extra_damage_multiplier 1","https://5e.tools/items.html#+1%20dragonkin%20greatclub_24griffonssaddlebag1"
"+1 Dragonkin Military Fork","The Griffon's Saddlebag: Book One","Melee Weapon","Rare","Yes","873 gp","698 gp / 873 gp / 1,047 gp","Amalgamated (DSA,MSRP,DMPG)","random","—","weapon_bonus 1, extra_damage_multiplier 1","https://5e.tools/items.html#+1%20dragonkin%20military%20fork_24griffonssaddlebag1"
"+1 Half Plate Armor","Dungeon Master's Guide (2024)","Medium Armor","Rare","No","1,733 gp","1,386 gp / 1,733 gp / 2,080 gp","Amalgamated (DSA,MSRP)","random","You have a +1 bonus to AC while wearing this armor.

The wearer has disadvantage on Dexterity (Stealth) checks.","armor_ac 15, ac_bonus 1, stealth_penalty 1, extra_damage_multiplier 1","https://5e.tools/items.html#+1%20half%20plate%20armor_xdmg"
"+1 Nakudama Bubble Rod","Dungeon Master's Guide (2024)","Ranged Weapon","Uncommon","No","536 gp","428 gp / 536 gp / 643 gp","Amalgamated (DSA,MSRP,DMPG)","random","*The *base item* can be found in Obojima: Tales from the Tall Grass, page 159.*

You have a +1 bonus to attack and damage rolls made with this magic weapon.

The Nakudama bubble rod is most recognizable by the curious sounds it produces when used. The wet descending whistle of multiple water filled glass marbles shot from the end of the oblong tube, quickly followed by the unmistakable pop of the ammunition as they hit their target.

***Range.*** A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range.","weapon_bonus 1, extra_damage_multiplier 1","https://5e.tools/items.html#+1%20nakudama%20bubble%20rod_xdmg"
"+1 Trident","Dungeon Master's Guide (2024)","Melee Weapon","Uncommon","No","635 gp","508 gp / 635 gp / 762 gp","Amalgamated (DSA,MSRP,DMPG)","random","You have a +1 bonus to attack and damage rolls made with this magic weapon.

***Thrown.*** If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon.

***Versatile.*** A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack.

***Mastery: Topple.*** If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition.","save_dc 8, weapon_bonus 1, extra_damage_multiplier 1","https://5e.tools/items.html#+1%20trident_xdmg"
"+1 True Name Repeater Needler","The Illrigger Revised","Ranged Weapon","Rare","Yes","200 gp","160 gp / 200 gp / 240 gp","Amalgamated (DSA,MSRP,DMPG)","floor-tripwire","—","extra_damage_avg 3.5, extra_damage_priced_avg 3.5, weapon_bonus 1, extra_damage_multiplier 1","https://5e.tools/items.html#+1%20true%20name%20repeater%20needler_illriggerrevised"
"+2 True Name Repeater Needler","The Illrigger Revised","Ranged Weapon","Very Rare","Yes","1,000 gp","800 gp / 1,000 gp / 1,200 gp","Amalgamated (DSA,MSRP,DMPG)","floor-tripwire","—","extra_damage_avg 7, extra_damage_priced_avg 7, weapon_bonus 2, extra_damage_multiplier 1","https://5e.tools/items.html#+2%20true%20name%20repeater%20needler_illriggerrevised"
"+2 True Name Warhammer","The Illrigger Revised","Melee Weapon","Very Rare","Yes","3,407 gp","2,726 gp / 3,407 gp / 4,089 gp","Amalgamated (DSA,MSRP,DMPG)","random","This weapon is ornately decorated with elegant details in brimstone and obsidian. It smells of iron and incense. When you attune to this weapon, you must whisper your true name to it. The name sears across the weapon in Infernal runes, then fades.

The typical True Name, an uncommon item, empowers an illrigger's Baleful Interdict. Whenever you roll an 18, 19, or 20 on your attack roll with this weapon and place a seal on a creature as part of the attack, you can place an additional seal on that creature.

You gain a +2 bonus to attack and damage rolls made using the weapon, and the damage dealt by your seals increases by 2d6. In addition, when you reduce an enemy to 0 hit points, you can choose to regain a seal (no action required). Once you regain a seal in this way, you can't do so again until the following dusk.

***Versatile.*** A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack.

***Mastery: Push.*** If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller.","extra_damage_avg 7, extra_damage_priced_avg 7, weapon_bonus 2, extra_damage_multiplier 1","https://5e.tools/items.html#+2%20true%20name%20warhammer_illriggerrevised"
"+3 Adamantine Chakram","Call from the Deep","Melee Weapon","Very Rare","No","10,237 gp","8,189 gp / 10,237 gp / 12,284 gp","Amalgamated (DSA,MSRP,DMPG)","random","—","weapon_bonus 3, extra_damage_multiplier 1","https://5e.tools/items.html#+3%20adamantine%20chakram_callfromthedeep"
"+3 Adamantine Repeater Needler","Call from the Deep","Ranged Weapon","Very Rare","No","1,000 gp","800 gp / 1,000 gp / 1,200 gp","Amalgamated (DSA,MSRP,DMPG)","floor-tripwire","—","weapon_bonus 3, extra_damage_multiplier 1","https://5e.tools/items.html#+3%20adamantine%20repeater%20needler_callfromthedeep"
"+3 Adamantine Vertebrae Sword","Call from the Deep","Melee Weapon","Very Rare","No","14,950 gp","11,960 gp / 14,950 gp / 17,940 gp","Amalgamated (DSA,MSRP,DMPG)","final-gate","The jagged vertebrae sword of a fishfolk warrior can barely be called a sword. Locals would say it's better described as a makeshift weapon crafted from a fish skeleton and sea trash. Its poor construction is the reason it's not often a weapon seen on land, though when used by a skilled fighter, it most certainly can be a formidable tool. When you successfully hit a creature with a vertebrae sword, you can use a bonus action to rake and twist the weapon, breaking off some of the sword's boney barbs and dealing an extra 1d8 piercing damage. The vertebrae sword can only be used in this way 5 times before it becomes unusable as a weapon.","extra_damage_avg 4.5, extra_damage_priced_avg 4.5, weapon_bonus 3, extra_damage_multiplier 1","https://5e.tools/items.html#+3%20adamantine%20vertebrae%20sword_callfromthedeep"
"+3 Bolt","Dungeon Master's Guide (2024)","Ammunition","Very Rare","No","637 gp","509 gp / 637 gp / 764 gp","Amalgamated (DSA,MSRP,DMPG)","random","You have a +3 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.

Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.

Bolts are typically stored in a *Crossbow Bolt Case* (bought separately).","weapon_bonus 3, is_ammunition 1, extra_damage_multiplier 1","https://5e.tools/items.html#+3%20bolt_xdmg"
"+3 Dragonkin Catchpole","The Griffon's Saddlebag: Book One","Melee Weapon","Legendary","Yes","12,122 gp","9,698 gp / 12,122 gp / 14,547 gp","Amalgamated (DSA,MSRP,DMPG)","random","—","weapon_bonus 3, extra_damage_multiplier 1","https://5e.tools/items.html#+3%20dragonkin%20catchpole_24griffonssaddlebag1"
"+3 Elite Rapier","Dungeon Master's Guide (2024)","Melee Weapon","Very Rare","No","13,774 gp","11,019 gp / 13,774 gp / 16,529 gp","Amalgamated (DSA,MSRP,DMPG)","random","*The *base item* can be found in Grim Hollow: Player’s Guide (2024), page 128.*

You have a +3 bonus to attack and damage rolls made with this magic weapon.

***Finesse.*** When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.

***Mastery: Swift.*** Swift weapons help you recover quickly from missed attacks. When you miss with a Swift weapon, you have Advantage on the first attack roll you make with the weapon against the same target before the end of your next turn. If that attack hits, it also deals an extra 1d4 damage of the weapon's normal damage type.","weapon_bonus 3, extra_damage_avg 2.5, extra_damage_priced_avg 2.5, extra_damage_multiplier 1","https://5e.tools/items.html#+3%20elite%20rapier_xdmg"
