name,source,old,new,pct,bucket,evidence
Acheron Blade Greatsword,Explorer's Guide to Wildemount,707.84,6014.24,749.66,kh7-wave1,temp_hp_avg=6.5 | Acheron Blade family
Acheron Blade Scimitar,Explorer's Guide to Wildemount,628.03,5336.10,749.66,kh7-wave1,temp_hp_avg=6.5 | Acheron Blade family
Acheron Blade Longsword,Explorer's Guide to Wildemount,652.50,5544.00,749.66,kh7-wave1,temp_hp_avg=6.5 | Acheron Blade family
Acheron Blade Shortsword,Explorer's Guide to Wildemount,609.97,5182.64,749.65,kh7-wave1,temp_hp_avg=6.5 | Acheron Blade family
Acheron Blade Rapier,Explorer's Guide to Wildemount,634.44,5390.54,749.65,kh7-wave1,temp_hp_avg=6.5 | Acheron Blade family
Acheron Blade Double-Bladed Scimitar,Explorer's Guide to Wildemount,683.38,5806.34,749.65,kh7-wave1,temp_hp_avg=6.5 | Acheron Blade family
Demonglass Dart,Frontiers of Eberron: Quickstone,614.62,3939.44,540.96,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Dagger,Frontiers of Eberron: Quickstone,630.64,4009.90,535.85,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Blowgun,Frontiers of Eberron: Quickstone,643.00,4084.15,535.17,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Club,Frontiers of Eberron: Quickstone,638.65,4045.14,533.39,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Handaxe,Frontiers of Eberron: Quickstone,638.65,4045.14,533.39,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Shortsword,Frontiers of Eberron: Quickstone,638.65,4045.14,533.39,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Javelin,Frontiers of Eberron: Quickstone,638.65,4045.14,533.39,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Hooked Shortspear,Frontiers of Eberron: Quickstone,638.65,4045.14,533.39,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Shortbow,Frontiers of Eberron: Quickstone,638.65,4045.14,533.39,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Light Hammer,Frontiers of Eberron: Quickstone,638.65,4045.14,533.39,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Sickle,Frontiers of Eberron: Quickstone,638.65,4045.14,533.39,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Hoopak,Frontiers of Eberron: Quickstone,638.65,4045.14,533.39,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Spear,Frontiers of Eberron: Quickstone,643.34,4065.75,531.98,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Sling,Frontiers of Eberron: Quickstone,643.34,4065.75,531.98,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Hand Crossbow,Frontiers of Eberron: Quickstone,643.34,4065.75,531.98,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Scimitar,Frontiers of Eberron: Quickstone,643.34,4065.75,531.98,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Whip,Frontiers of Eberron: Quickstone,643.34,4065.75,531.98,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Quarterstaff,Frontiers of Eberron: Quickstone,646.66,4080.37,530.99,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Mace,Frontiers of Eberron: Quickstone,646.66,4080.37,530.99,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass War Pick,Frontiers of Eberron: Quickstone,663.36,4119.39,520.99,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Longbow,Frontiers of Eberron: Quickstone,663.36,4119.39,520.99,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Flail,Frontiers of Eberron: Quickstone,663.36,4119.39,520.99,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Rapier,Frontiers of Eberron: Quickstone,663.36,4119.39,520.99,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Longsword,Frontiers of Eberron: Quickstone,668.05,4140.00,519.71,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Yklwa,Frontiers of Eberron: Quickstone,668.05,4140.00,519.71,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Morningstar,Frontiers of Eberron: Quickstone,671.37,4154.62,518.83,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Trident,Frontiers of Eberron: Quickstone,671.37,4154.62,518.83,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Battleaxe,Frontiers of Eberron: Quickstone,671.37,4154.62,518.83,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Light Repeating Crossbow,Frontiers of Eberron: Quickstone,673.95,4165.97,518.14,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Light Crossbow,Frontiers of Eberron: Quickstone,673.95,4165.97,518.14,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Warhammer,Frontiers of Eberron: Quickstone,673.95,4165.97,518.14,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Halberd,Frontiers of Eberron: Quickstone,676.05,4175.23,517.59,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Glaive,Frontiers of Eberron: Quickstone,676.05,4175.23,517.59,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Double-Bladed Scimitar,Frontiers of Eberron: Quickstone,676.05,4175.23,517.59,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Lance,Frontiers of Eberron: Quickstone,676.05,4175.23,517.59,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Greatclub,Frontiers of Eberron: Quickstone,681.96,4201.20,516.05,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Heavy Crossbow,Frontiers of Eberron: Quickstone,688.75,4231.08,514.31,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Pike,Frontiers of Eberron: Quickstone,688.75,4231.08,514.31,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Greatsword,Frontiers of Eberron: Quickstone,700.76,4249.48,506.41,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Greataxe,Frontiers of Eberron: Quickstone,702.54,4257.32,505.99,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Demonglass Maul,Frontiers of Eberron: Quickstone,706.67,4275.45,505.01,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Berserker Battleaxe,Dungeon Master's Guide (2024),617.04,3638.42,489.66,kh7-wave1,hp_max_per_level=1.0
