name,source,old,new,pct,bucket,evidence
Kiona's Notes,Where Evil Lives: The MCDM Book of Boss Battles,1.0,201.0,20000.0,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Book of Secrets,Where Evil Lives: The MCDM Book of Boss Battles,1.0,101.0,10000.0,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Whispergust Mote,The Griffon's Saddlebag: Book Two,120.83,7411.54,6033.86,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Suude (Blue),Tal'Dorei Campaign Setting Reborn,291.73,6855.48,2249.94,intended-913/q7b,grenade-control attached_spells={'daily': {'1': ['hold monster']}}
Suude (Brown),Tal'Dorei Campaign Setting Reborn,291.73,6855.48,2249.94,intended-913/q7b,grenade-control attached_spells={'daily': {'1': ['hold monster']}}
Suude (Red),Tal'Dorei Campaign Setting Reborn,291.73,6855.48,2249.94,intended-913/q7b,grenade-control attached_spells={'daily': {'1': ['hold monster']}}
Mind Flayer Skull,Waterdeep: Dungeon of the Mad Mage,291.73,3092.98,960.22,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Shield of Swans,Book of Ebon Tides,405.63,3939.35,871.17,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Secret Path,Obojima: Tales from the Tall Grass,77.66,673.52,767.27,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Staff of the Dream Shepherd,The Griffon's Saddlebag: Book Two,729.48,5986.68,720.68,intended-913/q7b,grenade-control attached_spells={'daily': {'1': ['hold monster']}}
Unknown Elixir,Obojima: Tales from the Tall Grass,429.16,3266.72,661.19,intended-913/q7b,spell_battery_max_level=6
Orostead Iced Tea (Common),The Griffon's Saddlebag: Book Two,127.29,958.8,653.24,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Couatl Herald's Lash,The Griffon's Saddlebag: Book One,657.17,4804.37,631.07,intended-913/q7b,family-min weapon_bonus=1 type=M
Snugglebeast (Owlbear),The Griffon's Saddlebag: Book One,115.58,626.14,441.74,intended-913/q7b,name pattern Snugglebeast
Cottage Chest,The Griffon's Saddlebag: Book Two,3533.47,17855.73,405.33,intended-913/q7b,spell_battery_max_level=8
Couatl Herald's Mantle,The Griffon's Saddlebag: Book One,729.48,3519.98,382.53,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Indigo Painted Stone,Tales from the Shadows,852.72,3697.43,333.6,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Cleaning Cube,The Griffon's Saddlebag: Book Two,120.83,522.15,332.14,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Slumbering Dragon's Wrath Vertebrae Sword,Fizban's Treasury of Dragons,894.12,3786.22,323.46,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Bird of a Feather (Common),The Griffon's Saddlebag: Book One,115.58,478.11,313.66,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Vanisher Hat,Tome of Beasts 1 (2023 Edition),958.07,3897.1,306.77,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Talons of the Squall,Humblewood Tales,1052.57,4274.09,306.06,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Jade Serpent Staff,Waterdeep: Dungeon of the Mad Mage,291.73,1080.48,270.37,intended-913/q7b,spell_battery_max_level=5
Sky Swimming,Obojima: Tales from the Tall Grass,77.66,275.24,254.42,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Wispy Sour (Common),The Griffon's Saddlebag: Book Two,77.66,275.24,254.42,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Rift Sheath,The Griffon's Saddlebag: Book Two,1527.21,5302.54,247.2,intended-913/q7b,family-min weapon_bonus=1 type=M
+3 True Name Repeater Needler,The Illrigger Revised,2436.85,8000.0,228.29,intended-913/q7b,family-min weapon_bonus=3 type=R
Psi Lenses,Where Evil Lives: The MCDM Book of Boss Battles,802.87,2576.25,220.88,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Sibling Purses,Obojima: Tales from the Tall Grass,802.87,2576.25,220.88,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Drow +3 Repeater Needler,Monster Manual,2502.1,8000.0,219.73,intended-913/q7b,family-min weapon_bonus=3 type=R
Rapid Withdrawal,Obojima: Tales from the Tall Grass,429.16,1304.51,203.97,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Sunbaked Cassette,Obojima: Tales from the Tall Grass,729.48,2148.48,194.52,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Pnakotic Manuscripts,Cthulhu by Torchlight,847.2,2485.23,193.35,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Duck Foot,Obojima: Tales from the Tall Grass,77.66,225.58,190.47,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Bartender's Armistice,The Griffon's Saddlebag: Book Two,3533.47,10068.23,184.94,intended-913/q7b,grenade-control attached_spells={'daily': {'1': ['hold monster']}}
Resuscitation Bomb,Grim Hollow: Campaign Guide (2024/Transformed),3533.47,10068.23,184.94,intended-913/q7b,grenade-control attached_spells={'daily': {'1': ['hold monster']}}
Slumbering Dragon's Wrath Side-handle Baton,Fizban's Treasury of Dragons,882.14,2425.0,174.9,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Dagger,Frontiers of Eberron: Quickstone,1627.07,4406.8,170.84,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Slumbering Dragon's Wrath Elite Rapier,Fizban's Treasury of Dragons,904.93,2446.36,170.34,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Slumbering Dragon's Wrath Sabre,Fizban's Treasury of Dragons,904.93,2446.36,170.34,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
